Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
creparatTestSuite,,,2019-04-30 16:37:29,2019-04-30 16:37:37,8.666s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-30 16:37:29,2019-04-30 16:37:33,4.404s,PASSED
"tokenresponse = sendRequestAndVerify(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-30 16:37:30,2019-04-30 16:37:33,3.194s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.001s,PASSED
result = slurper.parseText(tokenresponse.getResponseBodyContent()),,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.008s,PASSED
accessToken = access_token,,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.001s,PASSED
"println(""... value"" + accessToken)",,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.003s,PASSED
token = accessToken,,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.002s,PASSED
"println(""... tokenvalue"" + token)",,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.003s,PASSED
"response = sendRequest(findTestObject(""deletedepart/delpartment"", [""url"":wx_url, ""token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""partid"":partid]))",,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.422s,PASSED
"verifyResponseStatusCode(response, 200, STOP_ON_FAILURE)",,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.014s,PASSED
"creresponse = sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":depment]))",,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.298s,PASSED
"verifyResponseStatusCode(creresponse, 200)",,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.005s,PASSED
println(creresponse),,,2019-04-30 16:37:33,2019-04-30 16:37:33,0.007s,PASSED
